id	bank_ch	site_ch	status	keyed	keyed_text	best	best_text	source	note	question
76	ar-7	ar-9, ar-11	VERIFIED	A	Two red lights and two white			CAR Sec 4 Series B Pt I 5.3.5 (on slope: two red, two white)		At the correct height on the approach to runway with PAPIs pilot should see:
77	ar-3	ar-3	VERIFIED	A	250KTS IAS			AIP India ENR 1.4 table (250 kt IAS below 10000 ft, classes D-G); ENR 1.1		The maximum speed for an aircraft flying in class F or G airspace below F 100 is:
78	ar-3	ar-3	VERIFIED	D	Cannot be sued.			Bharatiya Vayuyan Adhiniyam 2024 s.39 ("No suit shall be brought ... in respect of trespass or ... nuisance by reason only of the flight of aircraft over any property at a height ... reasonable" having regard to wind and weather)	s.39 bars trespass/nuisance suits only; a damages claim for actual harm is a separate matter	A pilot flying low due to thunder showers for safety reasons can be sued by:
79	ar-3	ar-3	FLAGGED	B	At the lower altitude, but the pilot shall not take advantage of this rule to cut in front of or to overtake the other aircraft	B	At the lower altitude, but the pilot shall not take advantage of this rule to cut in front of or to overtake the other aircraft	Annex 2 3.2.2.5.2	best option B, but 3.2.2.5.2 ends "Nevertheless, power-driven heavier-than-air aircraft shall give way to gliders" - for DIFFERENT categories that exception is the point; explanation says the rule does not distinguish categories, which is wrong	Two aircraft of the different category are approaching an airport for the purpose of landing. The right-of-way belongs to the aircraft
80	ar-6	ar-4	VERIFIED	C	Light quartering tailwind			FAA AIM 7-4	as #27	What wind condition prolongs the hazards of wake turbulence on a landing runway for the longest period of time ?
81	ar-5	ar-5, ar-6, ar-8	VERIFIED	C	the pressure level set in the barometric window .			altimeter principle - indicates height above the pressure level set on the subscale		The altimeter indicates the aircraft altitude in relation to
82	ar-5	ar-5, ar-6, ar-8	VERIFIED	B	29.92”			AIP India ENR 1.7 §2.1.3 (FL 0 at 1013.2 hPa / 29.92 in)		The pressure altitude at a given location is indicated on the altimeter after the altimeter is set to
83	ar-6	ar-4	VERIFIED	C	dissipate slowly			FAA AIM 7-4 (sink slowly, diminishing with time)		During the two minutes after the passage of a heavy aeroplane in cruising flight, hazardous wing tip vortices will
84	ar-6	ar-4	VERIFIED	A	Could cause one vortex to remain over the runway for sometime			FAA AIM 7-4 (light crosswind: upwind vortex may remain in touchdown zone)		What effect would a light crosswind have on the wing tip vortices generated by a large aeroplane that had just taken off ?
85	ar-7	ar-9, ar-11	VERIFIED	C	4			CAR Sec 4 Series B Pt I (Aerodrome Design & Ops, Dec 2025) 5.2.6.3 (LDA 1500 m up to 2400 m: 4 pairs)		LDA for runway 27 at an aerodrome is 1599mts .Pair of touchdown zone markings for this runway will be:
86	ar-3	ar-3	CORRECTED (proposed, not applied)	A	2 hrs & 46 minutes.	D	3 hrs & 06	CAR Sec 9 Series C Pt I 4.3 ("VFR flights shall be operated during the period from 20 minutes before sunrise to 20 minutes after sunset"); AIP ENR 1.2 3	sunset 1318 + 20 = 1338; 1338 - 1032 = 3 h 06 = option D. Keyed A (to sunset) is the old rule	An aerial work aircraft on a VFR plan to Jaipur departs at 1032 hrs UTC. Sunset time at Jaipur is 1318 UTC. The flying time available to him to reach jaipur is :
87	ar-9	ar-13	FLAGGED	C	8	C	8	CAR Sec 4 Series B Pt I 5.2.4.5 (18 m 4; 23 m 6; 30 m 8; 45 m 12; 60 m 16)	25 m is not a tabulated width; question malformed	Number of threshold stripes on a runway of 25 m width shall be:
88	ar-7	ar-9, ar-11	VERIFIED	D	Yellow			Air Law textbook 20.30 (intermediate holding: single broken yellow line)		Colour of intermediate holding position markings shall be:
89	ar-2	ar-2, ar-14, ar-15	VERIFIED	C	Is modified or repaired otherwise than in accordance with the provisions of the rules.			Aircraft Rules r.55(1)(b) (deemed suspended when modified/repaired otherwise than per the rules)		The “Certificate of Airworthiness” of an aircraft shall be deemed to be suspended when an aircraft:
90	ar-9	ar-13	VERIFIED	C	As specified in the certificate of the Airworthiness			Aircraft Rules r.38A(7) (minimum crew - as specified in the C of A)		Minimum crew required on private aircraft is:
91	ar-9	ar-13	VERIFIED	C	Sealed in zinc and packed in a wooden box. Closed in a shell of zinc, joints sealed, shell enclosed in a teak wooden box which is enclosed in zinc lined box, filled with saw dust impregnated with carbolic powder. Permitted by the DGCA.			Aircraft (Public Health) Rules 1954 r.41 (cholera not in the prohibited list) and r.45(2)(a) (zinc shell, hermetically soldered, teak coffin, zinc-lined case, sawdust with carbolic powder)		A person dies of cholera, his body can be brought to if:
92	ar-9	ar-13	FLAGGED	C	9 hrs and 3 landings	C	9 hrs and 3 landings	CAR Sec 7 J Pt III (Issue III, 2019)	domestic/international 2-crew "9 hrs 3 landings" table no longer exists; current limits are FT x FDP x landings (9 h FT -> 13:00 FDP, 2 landings). Outdated - recommend rewrite	FDTL for 2 crew international flight is ______ hrs and _____ landing.
93	ar-6	ar-4	VERIFIED	C	Only IFR flights are permitted.			AIP India ENR 1.4 Class A		In class A airspace
94	ar-6	ar-4	VERIFIED	D	all are correct			AIP India ENR 1.4 Class D		In class D air space
95	ar-9	ar-13	VERIFIED	C	Aircraft involved in scheduled transport services			Aircraft Rules r.140C		Route guides are required to be carried in
96	ar-9	ar-13	VERIFIED	B	for all aircraft operating within ADIZ			AIP India ENR 5.2.2 (ADC for all flights in/into ADIZ)		ADC clearance is required to be obtained
97	ar-2	ar-2, ar-14, ar-15	VERIFIED	B	5 years from the date of last entry			Aircraft Rules r.67A(3) (log books preserved not less than 5 years after last entry)		Pilots log book is to be preserved for
98	ar-7	ar-9, ar-11	VERIFIED	B	gliding in progress			Annex 2 App 1 4.2.6 (double white cross: gliders)		A double white cross displayed on a signal square indicate
99	ar-2	ar-2, ar-14, ar-15	VERIFIED	C	1 year if age is less than 40 years			Aircraft Rules r.39C(5) (medical 12 months, 6 months past age 40)		Medical for a CPL holder is valid for
100	ar-9	ar-13	VERIFIED	A	Domestic routes			CAR Sec 9 Series E Pt I App 1 2.2 c) (H, J, V, W: routes not part of the regional network)		Letter ‘W’ in designator indicates:
101	ar-6	ar-4	VERIFIED	D	all are correct			Doc 4444 4.11.1		Position report is required to be given when
102	ar-7	ar-9, ar-11	VERIFIED	A	Aerodrome elevation			CAR Sec 4 Series B Pt I def. Aerodrome elevation (highest point of the landing area)		The highest point on the landing area is called:
103	ar-9	ar-13	FLAGGED	C	A red light visible 30deg above and below the horizon of the aircraft which is visible in all directions	C	A red light visible 30deg above and below the horizon of the aircraft which is visible in all directions	14 CFR 25.1401(b) (coverage 75 deg above and below)	"30 deg above and below" is an old/light-aircraft figure; wording outdated	Anti-collision light is a light :
104	ar-12	ar-16, ar-17, ar-20	VERIFIED	D	Prepared by the operator and authorized by the DGCA			Aircraft Rules r.140B(1) (Operations Manual in the form approved by the Director-General)		Operational Manual is:
105	ar-6	ar-4	VERIFIED	B	F 120			AIP India ENR 1.7		An aircraft is commencing descend from its initial FL 290 over . The altimeter reads 12000 ft. The commander will report his vertical distance to the ATC in terms of:
106	ar-3	ar-3	VERIFIED	D	55, 75, 95, 115, 135, 155, 175, 195, 215, 235, 255, 275			Annex 2 App 3	duplicate of #4	An aircraft is following a track of 179º (M) on a VFR plan . The choice of flight levels available to the pilot is:
107	ar-9	ar-13	FLAGGED	D	3.7 km			CAR Sec 8 Series C Pt I (2022/2026)	the old "3.7 km for operators who have not filed minima" table no longer exists; outdated	The visibility minima for those Airlines who have not filed their own Minima with the DGCA for an airport for Non Precession approach is:
108	ar-9	ar-13	VERIFIED	D	1000			CAR Sec 7 J Pt III 8.5 (1000 h in 365 days)		Max flying hours for a flight crew in one year is: ______ hrs
109	ar-9	ar-13	VERIFIED	C	Operator & is approved by DGCA			CAR Sec 8 Series C Pt I 4.2 (operator establishes; method approved by DGCA)		Aerodrome operation minima is given by
110	ar-2	ar-2, ar-14, ar-15	VERIFIED	B	6 months			Aircraft Rules r.39C(5)		If the age of a CPL holder is more than 40 years the validity of medical is for_________
111	ar-9	ar-13	VERIFIED	B	To inform health officer of destination aerodrome at least two hrs before landing.			Aircraft (Public Health) Rules 1954 r.3(1)-(2)(b) (health report by wireless not less than two hours out from the airport in India)	applies to aircraft on the way to India from outside India	If a passenger falls sick on board an a/c and he is suspected of any infectious disease then PIC’s action is:
112	ar-8	ar-19, ar-21	VERIFIED	D	All of the above are correct			Aircraft (Investigation of Accidents and Incidents) Rules 2025 r.7(3)(a) (removal to extricate persons or animals dead or alive, prevent destruction)		The wreckage of crashed aircraft on R/W/ can be removed to:
113	ar-3	ar-3	FLAGGED	D	Matter is to be reported to DGCA as an incident			Aircraft Rules r.3 (def. incident: "(b) the aircraft makes a forced landing")	forced landing IS an incident, but no source held says anything about the condition for taking off again; the option does not answer the stem	An aircraft force lands at an uncontrolled aerodrome, it can take off again:
114	ar-9	ar-13	FLAGGED	A	is calculated as per the FDTL	A	is calculated as per the FDTL	CAR Sec 7 J Pt III 2.1 / 14	CAR applies to scheduled air transport crew; a "trainee pilot" is not defined there	The duty time of the trainee pilot:
115	ar-6	ar-4	VERIFIED	B	With in Local Flying Area of the aerodrome			Aircraft Rules r.6B (qualifying flights within the local flying area)		A pilot can fly an aircraft which is not entered in the aircraft rating of his license for endorsement on his licence
116	ar-9	ar-13	VERIFIED	B	100 hrs PIC & 30 hrs as Co pilot			Aircraft Rules r.42A (125 h in 30 days; co-pilot time counted at 80 %: 100 + 30x0.8 = 124)	only option within 125	A pilot can fly in 30 consecutive days
117	ar-9	ar-13	VERIFIED	C	43 meters			Aircraft Rules r.25A(2)(n) (43 m, turbo-jet outlets)		When an aircraft is being refueled, the refueling must be stopped if a jet aircraft crosses with in a distance of:
118	ar-3	ar-3	VERIFIED	B	Within 2 nm of nearest perimeter of aerodrome			CAR Sec 9 Series C Pt I (Rules of the Air, 2024) 3.1.7.2(b) (no aerobatics within 2 NM of the aerodrome perimeter unless above 1800 m / 6000 ft)		At an aerodrome the aerobatics are to be carried out above 6000 feet
119	ar-8	ar-19, ar-21	VERIFIED	A	25 hours			CAR Sec 2 Series I Pt V (FDR retains at least the last 25 hours)		The FDR has record of operation of preceding
120	ar-8	ar-19, ar-21	FLAGGED	B	At least 30 minutes			CAR Sec 2 Series I Pt VI 4.3.1 ("All CVRs/CARS shall retain the information recorded during at least the last 2 hours")	keyed B (30 min) is outdated; no option says 2 hours	The CVR has the capability of recording information
121	ar-8	ar-19, ar-21	VERIFIED	B	Help in accident investigation			CAR Sec 8 Series O Pt II def. Flight recorder (installed for the purpose of complementing accident/incident investigation)		The CVR is fitted in an aircraft to
122	ar-8	ar-19, ar-21	FLAGGED	C	a&b Both are correct	C	a&b Both are correct	not verified	FDR purpose is investigation; "monitor performance" is flight-data monitoring, a separate programme	The FDR is fitted in an aircraft to
123	ar-3	ar-3	VERIFIED	C	Scan slowly to center off vision			Human Performance textbook, Eye ch., Night vision (fovea has no rods; look slightly away)		The most effective way to use eyes at night is
124	ar-13	ar-18	VERIFIED	C	Air report			as #11		39R. A report received from an aircraft giving a position and /or met report is called
125	ar-8	ar-19, ar-21	VERIFIED	A	Mode A code 7500			as #12		During flight as a pilot you are subjected to unlawful interference .On SSR you should to set
126	ar-9	ar-13	VERIFIED	B	Within 5 nm of an aerodrome upto 1000’			AIP India ENR 5.2.2 (local flights within 5 NM of ARP, 1000 ft AGL)		ADC is not required
127	ar-9	ar-13	VERIFIED	B	30 minutes			as #14		A fresh flight plan is to be filled if a scheduled flight is delayed by more than
128	ar-6	ar-4	FLAGGED	D	Red, Green, Blue, Amber & White			CAR Sec 9 Series E Pt I App 1 (designators are letters + number)	colour-coded route designators are obsolete; outdated	The designators for world wide ATS routes are in which colour
129	ar-7	ar-9, ar-11	FLAGGED	C	Out side the stipulated time	C	Out side the stipulated time	Annex 2 def. Danger area (activities may exist at specified times)	a danger area is not closed to flight; A and B are also defensible. Ambiguous question	An aircraft can fly over a danger area
130	ar-4	ar-7, ar-12	VERIFIED	D	All of the above are correct			Annex 2 App 1 1.4 (10-second red/green projectiles: restricted, prohibited or danger area)		A series of red and green projectiles fired at an interval of 10 sec means
131	ar-9	ar-13	VERIFIED	C	Prohibited area.			Aircraft Rules Sch. I (4); AIP ENR 5.1		Mathura Refinery is a:
132	ar-7	ar-9, ar-11	VERIFIED	A	3 parts (GEN, ENR & AD)			AIP India structure GEN/ENR/AD (GEN 3.1)		AIP consists of:
