"Chapter","No","Question","A","B","C","D","Correct","Status","Verification / Note"
"met-1 Atmosphere","18","In the ISA, the mean sea level temperature is:","15°C","10°C","25°C","","A) 15°C","VERIFIED","ISA MSL temperature = +15°C (CAE)."
"met-1 Atmosphere","19","The maximum concentration of ozone is at a height of about:","10–15 km","20–25 km","30–35 km","","B) 20–25 km","TEXT-FIX","Ozone maximum ≈20–25 km. Options de-garbled (1015→10–15)."
"met-1 Atmosphere","20","Supplemental oxygen is required when flying above about:","5000 ft","7000 ft","10 000 ft","","C) 10 000 ft","VERIFIED","Supplemental O₂ above ≈10 000 ft (physiology/DGCA)."
"met-1 Atmosphere","21","CO₂ and water vapour keep the atmosphere:","Warm","Cold","No effect","","A) Warm","VERIFIED","Greenhouse gases warm the atmosphere."
"met-1 Atmosphere","22","Noctilucent clouds occur in the:","Thermosphere","Mesosphere","Stratosphere","","B) Mesosphere","VERIFIED","Noctilucent clouds near the mesopause ≈80 km (mesosphere)."
"met-1 Atmosphere","23","If the temperature at 2 km is +5°C, the ISA deviation (Actual − ISA) is:","−5°C","+2°C","+3°C","","C) +3°C","TEXT-FIX","ISA@2km≈+2°C; +5−(+2)=+3°C. Fixed answer-option sign (was '−03°C')."
"met-1 Atmosphere","24","If the MSL pressure is 1002.25 hPa, the deviation from the ISA MSL pressure is:","−11 hPa","+10 hPa","+12 hPa","","A) −11 hPa","VERIFIED","1002.25 − 1013.25 = −11 hPa."
"met-1 Atmosphere","25","If the temperature at 19 km is −60°C, the ISA deviation is:","−4.5°C","−5.5°C","−3.5°C","","C) −3.5°C","TEXT-FIX","ISA@19km=−56.5°C (isothermal); −60−(−56.5)=−3.5°C."
"met-1 Atmosphere","26","The homosphere (up to ≈80 km) has a uniform composition because of:","Pressure","Gravitation","Turbulent mixing","","C) Turbulent mixing","CORRECTED","Uniform because turbulent/eddy mixing dominates. IC Joshi marked 'Gravitation' — WRONG."
"met-1 Atmosphere","27","Approximately half of the atmosphere's mass (by weight) lies below:","20 000 ft","15 000 ft","10 000 ft","","A) 20 000 ft","CORRECTED","50% of mass below ≈5500 m ≈18 000 ft → 20 000 ft closest (CAE Q23). Live notes-bank showed 15 000 ft — WRONG."
"met-1 Atmosphere","28","In the Jet Standard Atmosphere, the assumed lapse rate is:","2°C/1000 ft","2°C/km","5°C/km","","A) 2°C/1000 ft","VERIFIED","JSA uses 2°C per 1000 ft."
"met-1 Atmosphere","29","The rate of fall of temperature with height is called the:","Isothermal rate","Inversion rate","Lapse rate","","C) Lapse rate","VERIFIED","Definition of lapse rate."
"met-1 Atmosphere","30","In the actual atmosphere, the lapse rate can:","Assume any value","Only fall up to 8 km","Only rise up to 50 km","","A) Assume any value","VERIFIED","Real environmental lapse rate varies (can be positive, zero, or inverted)."
"met-1 Atmosphere","31","The tropical tropopause over India is at about:","20–21 km","14–15 km","16–16.5 km","","C) 16–16.5 km","TEXT-FIX","Tropical tropopause ≈16–17 km. Options de-garbled."
"met-1 Atmosphere","32","The lapse rate in the troposphere is caused by ____ , and the stratospheric inversion by ____:","Evaporation; condensation","Rising air; solar radiation","Terrestrial radiation; solar radiation (ozone)","Solar radiation; convection","C) Terrestrial radiation; solar radiation (ozone)","CORRECTED","Troposphere heated from below (terrestrial radiation); stratosphere warmed by ozone absorbing solar UV. IC Joshi marked 'Rising air…'. (Merged duplicate Q44.)"
"met-1 Atmosphere","33","A negative lapse rate (temperature rising with height) is known as an:","Isothermal layer","Temperature fall with height","Inversion","Adiabatic layer","C) Inversion","TEXT-FIX","Inversion = temperature increasing with height. Options tidied."
"met-1 Atmosphere","34","In the ICAO ISA, the atmosphere is assumed to be isothermal from:","11 to 16 km","11 to 20 km","11 to 32 km","0 to 11 km","B) 11 to 20 km","CORRECTED","ISA is isothermal (−56.5°C) 11→20 km, then rises. IC Joshi marked '11–32 km' — WRONG (CAE Q20/Q22)."
"met-1 Atmosphere","35","Which is a characteristic of the atmosphere?","It is a poor conductor of heat and electricity","The Equator is warmer than the poles above 10 km","The stratospheric lapse rate is positive","Density is constant above 8 km","A) It is a poor conductor of heat and electricity","VERIFIED","Air is a poor conductor; the other options are false."
"met-1 Atmosphere","36","The knowledge of the tropopause height is important to a pilot because:","Weather is mainly confined up to this level","Clouds never reach this height","All solar radiation is absorbed here","","A) Weather is mainly confined up to this level","VERIFIED","Weather (and most cloud/turbulence) is confined to the troposphere."
"met-1 Atmosphere","37","In the ISA, the tropopause is at a height of:","8–10 km","11 km","16–18 km","","B) 11 km","TEXT-FIX","ISA tropopause = 11 km (36 090 ft). Options de-garbled."
"met-1 Atmosphere","38","Most of the atmospheric water vapour is found:","In the stratosphere","Up to 30 000 ft","In the mid-troposphere","In the lower troposphere","D) In the lower troposphere","VERIFIED","Most water vapour is held in the lower troposphere (below about 3 km)."
"met-1 Atmosphere","39","The greatest transfer of heat from the earth's surface to the atmosphere is by:","Convection","Radiation","Sensible heat","Latent heat","D) Latent heat","VERIFIED","Latent heat (evaporation) is the largest single component of heat transfer from the surface to the atmosphere."
"met-1 Atmosphere","40","In the ISA, the temperature decrease with height below 11 km is:","0.5°C/100 m","0.6°C/100 m","0.65°C/100 m","1°C/100 m","C) 0.65°C/100 m","VERIFIED","ISA lapse 6.5°C/km = 0.65°C/100 m (CAE Q3)."
"met-1 Atmosphere","41","The 200 hPa pressure level, in temperate regions, is at an average height of about:","FL390","FL300","FL100","FL50","A) FL390","VERIFIED","200 hPa ≈ 38 700 ft ≈ FL390 (CAE Q4)."
"met-1 Atmosphere","42","The temperature at FL110 is −12°C. Applying the ICAO standard lapse rate, the temperature at FL140 is:","−6°C","−18°C","−9°C","−15°C","B) −18°C","VERIFIED","3000 ft × 2°C/1000 ft = 6°C colder → −18°C (CAE Q5)."
"met-1 Atmosphere","43","At a position the 300 hPa temperature is −54°C and the tropopause is at FL330. The most likely temperature at FL350 is:","−48°C","−60°C","−56.5°C","−64°C","B) −60°C","VERIFIED","FL300→FL330: −54−6=−60°C; above tropopause isothermal → FL350=−60°C (CAE Q6)."
"met-1 Atmosphere","44","The boundary between the troposphere and the stratosphere is called the:","Ionosphere","Stratopause","Atmosphere","Tropopause","D) Tropopause","VERIFIED","Tropopause (CAE Q7)."
"met-1 Atmosphere","45","Which constant-pressure chart is standard for the FL50 (≈4781 ft) level?","500 hPa","300 hPa","850 hPa","700 hPa","C) 850 hPa","VERIFIED","850 hPa ≈ 5000 ft (CAE Q8)."
"met-1 Atmosphere","46","An OAT of −30°C is measured at FL200. The temperature deviation from ISA is:","5°C colder than ISA","5°C warmer than ISA","10°C colder than ISA","10°C warmer than ISA","A) 5°C colder than ISA","VERIFIED","ISA@FL200=−25°C; −30 is 5°C colder (CAE Q9)."
"met-1 Atmosphere","47","The most likely temperature at the tropical tropopause is:","−56.5°C","−75°C","−40°C","−25°C","B) −75°C","VERIFIED","Tropical tropopause ≈−75°C (CAE Q10)."
"met-1 Atmosphere","48","In the lower part of the stratosphere the temperature:","Is almost constant","Decreases with altitude","Increases with altitude","Increases then decreases","A) Is almost constant","VERIFIED","Lower stratosphere is isothermal (CAE Q12)."
"met-1 Atmosphere","49","An air temperature of −15°C at the 700 hPa level over western Europe would be characterised as:","Within ±5°C of ISA","20°C below standard","Low","High","C) Low","VERIFIED","700 hPa≈FL100, ISA≈−5°C; −15°C is colder than standard = Low (CAE Q15)."
"met-1 Atmosphere","50","Flying at FL300 in an air mass 15°C warmer than ISA, the outside temperature is likely:","−15°C","−30°C","−45°C","−60°C","B) −30°C","VERIFIED","ISA@FL300=−45°C; +15 → −30°C (CAE Q16)."
"met-1 Atmosphere","51","At FL140 the OAT is −8°C. The freezing level is at approximately:","FL75","FL100","FL130","FL180","B) FL100","VERIFIED","−8°C→0°C needs +4000 ft descent (2°C/1000 ft); FL140−40=FL100 (CAE Q17)."
"met-1 Atmosphere","52","The most important constituent in the atmosphere from a weather standpoint is:","Carbon dioxide","Oxygen","Water vapour","Methane","C) Water vapour","VERIFIED","Water vapour drives weather (CAE Q18)."
"met-1 Atmosphere","53","The average height of the tropopause at latitude 50° is about:","8 km","11 km","14 km","16 km","B) 11 km","VERIFIED","Mid-latitude tropopause ≈11 km (CAE Q19)."
"met-1 Atmosphere","54","Between MSL and 20 km, the lowest temperature in the ISA is:","−273°C","−44.7°C","−56.5°C","−100°C","C) −56.5°C","VERIFIED","ISA minimum −56.5°C in the 11–20 km isothermal layer (CAE Q20)."
"met-1 Atmosphere","55","The ISA assumes the temperature reduces at:","1.98°C/1000 ft up to 36 090 ft, then constant to 65 617 ft","1.98°C/1000 ft up to 36 090 ft, then +0.3°C/1000 ft","2°C/1000 ft up to 65 617 ft","2°C/1000 ft up to 36 090 ft, then +0.3°C/1000 ft","A) 1.98°C/1000 ft up to 36 090 ft, then constant to 65 617 ft","VERIFIED","ISA: 1.98°C/1000 ft to 36 090 ft then isothermal to 65 617 ft (CAE Q21)."
"met-1 Atmosphere","56","A temperature of +15°C is recorded at 500 m AMSL. Using the standard lapse rate, the temperature at a 2500 m summit is:","0°C","+2°C","+4°C","−2°C","B) +2°C","VERIFIED","2000 m × 6.5°C/km = 13°C; 15−13=+2°C (CAE Q24)."
"met-2 Pressure","1","Around a low-pressure area, the surface winds:","Converge","Diverge","Blow straight","","A) Converge","VERIFIED","Surface winds spiral inward (converge) into a low."
"met-2 Pressure","2","Low pressure is generally associated with:","Good weather","Bad weather","No particular weather","","B) Bad weather","VERIFIED","Lows bring rising air, cloud and bad weather."
"met-2 Pressure","3","In a high-pressure area the winds are generally:","Normal","Strong","Weak","","C) Weak","VERIFIED","Highs have a slack pressure gradient → light/weak winds."
"met-2 Pressure","4","Flying from an area of low pressure to high pressure (subscale unchanged), the altimeter will read:","Over-read","Under-read","Constant","","B) Under-read","VERIFIED","Low to high → altimeter under-reads (true altitude higher than indicated)."
"met-2 Pressure","5","Isallobars are lines joining places of equal:","Pressure","Temperature tendency","Pressure tendency","","C) Pressure tendency","VERIFIED","Isallobars = equal pressure change (tendency) over a period."
"met-2 Pressure","6","An altimeter is which kind of barometer?","Aneroid","Mercury","Alcohol","","A) Aneroid","VERIFIED","An altimeter is an aneroid barometer calibrated in feet."
"met-2 Pressure","7","The region between two lows and two highs is called a:","Depression","Secondary low","Col","","C) Col","VERIFIED","A col is the neutral region between two lows and two highs."
"met-2 Pressure","8","The relationship between height and pressure is used in the construction of the:","Altimeter","Airspeed indicator","Vertical speed indicator","","A) Altimeter","VERIFIED","The pressure altimeter converts pressure to height."
"met-2 Pressure","9","An altimeter measures the height of the aircraft above the:","Mean sea level","1013.2 hPa datum","Datum level set on its subscale","","C) Datum level set on its subscale","VERIFIED","It reads height above the pressure datum set on the subscale."
"met-2 Pressure","10","Two aircraft at the same indicated altitude (1013.2 hPa set), one over a cold air mass and one over a warm air mass. Which has the greater true altitude?","The one over the warm air mass","The one over the cold air mass","","","A) The one over the warm air mass","VERIFIED","Warm air is less dense; pressure falls more slowly, so true altitude is greater over warm air."
"met-2 Pressure","11","The rate of fall of pressure with height in a warm air mass, compared with a cold air mass, is:","The same","More rapid","Less rapid","","C) Less rapid","VERIFIED","Warm air is less dense → pressure falls less rapidly with height."
"met-2 Pressure","12","Near MSL, an increase of 1000 ft corresponds to a pressure decrease of about:","100 hPa","1000 hPa","3 hPa","33 hPa","D) 33 hPa","VERIFIED","Near MSL ≈1 hPa per 30 ft → 1000 ft ≈ 33 hPa."
"met-2 Pressure","13","Lines drawn through places of equal pressure are called:","Isobars","Isotherms","Isogonals","Isoclinals","A) Isobars","VERIFIED","Isobars join places of equal pressure."
"met-2 Pressure","14","Semi-diurnal (twice-daily) pressure variations are most pronounced in the:","Polar regions","Middle latitudes","Tropics","","C) Tropics","VERIFIED","The atmospheric semi-diurnal pressure tide is strongest in the tropics."
"met-2 Pressure","15","In the Southern Hemisphere, the wind around a low-pressure area blows:","Clockwise","Anticlockwise","Straight across the isobars to the centre","","A) Clockwise","VERIFIED","SH lows circulate clockwise."
"met-2 Pressure","16","When an altimeter on the ground reads the aerodrome elevation, its subscale is set to:","QNH","QNE","QFF","QFE","A) QNH","VERIFIED","With QNH set, the altimeter reads altitude above MSL = aerodrome elevation on the ground."
"met-2 Pressure","17","Poor visibility is most often associated with a:","High","Low","Col","","A) High","VERIFIED","Highs are stable → haze/fog and poor visibility."
"met-2 Pressure","18","On either side, perpendicular to a ____, the pressure rises:","Trough","Ridge","Low","","A) Trough","VERIFIED","A trough is a line of lowest pressure; pressure rises away from it on both sides."
"met-2 Pressure","19","The fall of pressure with height is more rapid in:","Cold areas","Warm areas","Humid areas","","A) Cold areas","VERIFIED","Cold air is denser → pressure falls more rapidly with height."
"met-2 Pressure","20","In the ISA, the 300 hPa level corresponds to approximately:","20 000 ft","30 000 ft","35 000 ft","","B) 30 000 ft","VERIFIED","300 hPa ≈ 30 000 ft (FL300)."
"met-2 Pressure","21","In the ISA, 18 000 ft corresponds to a pressure of approximately:","700 hPa","200 hPa","500 hPa","","C) 500 hPa","VERIFIED","18 000 ft ≈ 500 hPa (half sea-level pressure)."
"met-2 Pressure","22","In the ISA, the 200 hPa level corresponds to approximately:","20 000 ft","30 000 ft","40 000 ft","","C) 40 000 ft","VERIFIED","200 hPa ≈ 38 700–40 000 ft."
"met-2 Pressure","23","In the ISA, 24 000 ft corresponds to a pressure of approximately:","400 hPa","500 hPa","300 hPa","","A) 400 hPa","VERIFIED","24 000 ft ≈ 400 hPa."
"met-2 Pressure","24","In the ISA, the 700 hPa level corresponds to approximately:","20 000 ft","10 000 ft","18 000 ft","","B) 10 000 ft","VERIFIED","700 hPa ≈ 10 000 ft."
"met-2 Pressure","25","In the ISA, 40 000 ft corresponds to a pressure of approximately:","400 hPa","500 hPa","200 hPa","","C) 200 hPa","VERIFIED","40 000 ft ≈ 200 hPa."
"met-2 Pressure","26","In the ISA, the 850 hPa level corresponds to approximately:","7 000 ft","5 000 ft","10 000 ft","","B) 5 000 ft","VERIFIED","850 hPa ≈ 5 000 ft."
"met-2 Pressure","27","An aircraft is gaining true altitude although the altimeter reads a constant altitude. This is because it is:","Standard pressure has risen","Flying towards a high","Flying towards a low","Temperature has decreased","B) Flying towards a high","VERIFIED","Flying toward higher pressure, the altimeter under-reads; holding the indication means climbing."
"met-2 Pressure","28","A contour of 9160 m would be expected on a constant-pressure chart for the level:","500 hPa","400 hPa","300 hPa","200 hPa","C) 300 hPa","VERIFIED","9160 m ≈ 30 000 ft ≈ 300 hPa."
"met-2 Pressure","29","A steep pressure gradient means:","Contours far apart, weak wind","Contours far apart, strong wind","Isobars far apart, low temperature","Isobars closely packed, strong wind","D) Isobars closely packed, strong wind","VERIFIED","Closely-packed isobars = steep gradient = strong wind."
"met-2 Pressure","30","The inversion that occurs when a stable layer sinks within a high-pressure area is a:","Negative inversion","Radiation inversion","Subsidence inversion","Air-mass inversion","C) Subsidence inversion","VERIFIED","Subsiding air in a high warms adiabatically → subsidence inversion."
"met-2 Pressure","31","Which condition would cause the true altitude to be greater than the indicated altitude (altimeter constant)?","Warm / Low","Cold / Low","Hot / High","Cool / Low","C) Hot / High","VERIFIED","Flying toward hot air and/or high pressure → altimeter under-reads → true altitude greater."
"met-2 Pressure","32","The vertical air motion associated with a cyclone (low) is:","Descending and subsiding","Ascending and converging","Descending and cooling","Ascending and diverging","B) Ascending and converging","VERIFIED","A low = converging, ascending air."
"met-2 Pressure","33","An aerodrome is at mean sea level; its QNH is 1014.0 hPa. Its QFF is:","1014.0 hPa","1013.25 hPa","Cannot be determined","More than QNH","A) 1014.0 hPa","VERIFIED","At MSL, QFE = QNH = QFF."
"met-2 Pressure","34","The instrument that continuously records atmospheric pressure is the:","Anemograph","Barograph","Hygrograph","Barometer","B) Barograph","TEXT-FIX","A barograph records pressure. The original option set was missing 'Barograph' (a barometer only measures); corrected."
"met-2 Pressure","35","Flying Delhi→Calcutta at a constant indicated altitude and drifting to starboard, the true altitude compared with the indicated altitude will be:","Lower","Same","Higher","","A) Lower","VERIFIED","Drift to starboard (NH) means heading toward lower pressure → altimeter over-reads → true altitude lower."
"met-2 Pressure","36","Which statement about a col is correct?","It brings bad weather with good visibility","It always brings fog","It brings strong winds","","A) It brings bad weather with good visibility","TEXT-FIX","Reworded from a garbled item: a low/col region often pairs unsettled weather with relatively good visibility."
"met-2 Pressure","37","Atmospheric pressure at a point is fundamentally due to:","Wind","Temperature","Gravity (weight of the air above)","Density","C) Gravity (weight of the air above)","VERIFIED","Atmospheric pressure is the weight of the overlying air acting under gravity."
"met-2 Pressure","38","On a 300 hPa constant-pressure chart, the contours (isohypses) are drawn at intervals of:","20 gpm","40 gpm","60 gpm","80 gpm","D) 80 gpm","VERIFIED","On the 300 hPa chart the contour (isohypse) interval is 80 gpm."
"met-2 Pressure","39","On a 500 hPa constant-pressure chart, the contours (isohypses) are drawn at intervals of:","20 gpm","40 gpm","60 gpm","80 gpm","B) 40 gpm","VERIFIED","On the 500 hPa chart the contour (isohypse) interval is 40 gpm."
"met-2 Pressure","40","An aerodrome is 160 m AMSL with QNH 1005 hPa (assume 1 hPa = 8 m). Its QFE is:","1015 hPa","985 hPa","1005 hPa","975 hPa","B) 985 hPa","VERIFIED","160 m ÷ 8 m/hPa = 20 hPa; QFE = QNH − 20 = 985 hPa."
"met-2 Pressure","41","The barometric pressure at the airfield datum point is known as the:","QFF","QNH","QFE","Standard pressure","C) QFE","VERIFIED","QFE = pressure at the aerodrome reference point."
"met-2 Pressure","42","The pressure of the atmosphere with increasing height:","Decreases at an increasing rate","Decreases at a constant rate","Decreases at a decreasing rate","Is constant above the tropopause","C) Decreases at a decreasing rate","VERIFIED","Pressure falls at a decreasing rate with height (exponential decay)."
"met-2 Pressure","43","Atmospheric pressure may be defined as:","The weight of the atmosphere on any surface","The weight of the atmosphere at sea level","The force per unit area exerted by the atmosphere on any surface with which it is in contact","A pressure of 1013.2 hPa","C) The force per unit area exerted by the atmosphere on any surface with which it is in contact","VERIFIED","Pressure = force per unit area exerted by the atmosphere."
"met-2 Pressure","44","The QFF is the atmospheric pressure:","At the place where the reading is taken","Corrected to MSL assuming ISA conditions","At the place of reading corrected to MSL using the prevailing (actual) temperature","As measured at the aerodrome reference point","C) At the place of reading corrected to MSL using the prevailing (actual) temperature","VERIFIED","QFF = QFE reduced to MSL using the actual temperature."
"met-2 Pressure","45","A pressure of 1013 hPa is known as the:","Standard pressure setting","QNH","QFE","QFF","A) Standard pressure setting","VERIFIED","1013.25 hPa = Standard Pressure Setting (SPS)."
"met-2 Pressure","46","The altimeter reads zero at aerodrome level when the subscale is set to:","QFF","QNH","SPS","QFE","D) QFE","VERIFIED","With QFE set, the altimeter reads zero at aerodrome level."
"met-2 Pressure","47","The aerodrome QNH is the aerodrome pressure:","Corrected to MSL assuming ISA conditions","Corrected to MSL assuming isothermal conditions","Corrected for temperature and reduced to MSL using the actual atmosphere","Uncorrected","A) Corrected to MSL assuming ISA conditions","VERIFIED","QNH = QFE reduced to MSL using the ISA (standard atmosphere)."
"met-2 Pressure","48","An isobar on a meteorological (analysis) chart joins all places having the same:","QFE","QFF","QNH","Standard pressure","B) QFF","VERIFIED","Isobars on analysis charts are drawn for corrected MSL pressure (QFF)."
"met-2 Pressure","49","Pressure will ____ with increasing height, being about ____ at 10 000 ft and ____ at 30 000 ft:","Increase / 800 / 400 hPa","Decrease / 700 / 300 hPa","Increase / 200 / 800 hPa","Decrease / 500 / 200 hPa","B) Decrease / 700 / 300 hPa","VERIFIED","≈700 hPa at 10 000 ft and ≈300 hPa at 30 000 ft."
"met-2 Pressure","50","An airfield is 100 m AMSL, QFF 1030 hPa, surface temperature −15°C. The QNH is:","Impossible to determine","Less than 1030 hPa","Same as QFF","More than 1030 hPa","B) Less than 1030 hPa","VERIFIED","Above MSL and colder than ISA → QFF exceeds QNH, so QNH < 1030 hPa."
"met-3 Temperature","1","The diurnal variation of temperature is greatest when the wind is:","Calm","Light","Strong","","A) Calm","VERIFIED","Calm winds allow the largest day-night temperature range."
"met-3 Temperature","2","The diurnal variation of temperature is greatest over:","Forest","Ocean","Land","","C) Land","VERIFIED","Land heats and cools faster than water → larger diurnal range."
"met-3 Temperature","3","ALBEDO is the:","Radiation received by the earth","Amount of heat stored","Reflecting power of a surface","","C) Reflecting power of a surface","VERIFIED","Albedo = fraction of incident radiation reflected by a surface."
"met-3 Temperature","4","During the day the air (ambient) temperature is ____ than the ground:","Lower","Higher","Same","","A) Lower","VERIFIED","By day the sun-heated ground is warmer than the air above it."
"met-3 Temperature","5","The diurnal variation of temperature over the ocean is:","More than over land","Above 3°C","Less than 1°C","","C) Less than 1°C","VERIFIED","Water's high thermal capacity keeps the ocean's diurnal range under ~1°C."
"met-3 Temperature","6","At a coastal station the diurnal temperature variation depends mainly on the:","Wind direction","Wind speed","Radiation","","A) Wind direction","VERIFIED","Onshore (maritime) vs offshore (continental) wind sets the range."
"met-3 Temperature","7","Solar radiation received per unit area is called:","Insolation","Convection","Conduction","","A) Insolation","VERIFIED","Insolation = INcoming SOLar radiATION per unit area."
"met-3 Temperature","8","Solar radiation reaching the earth is predominantly:","Long wave","Albedo","Short wave","","C) Short wave","VERIFIED","The hot sun emits short-wave radiation; the cool earth emits long-wave."
"met-3 Temperature","9","The rise in temperature of a surface is ____ proportional to its specific heat:","Directly","Inversely","","","B) Inversely","VERIFIED","Higher specific heat → smaller temperature rise for the same heat input."
"met-3 Temperature","10","The specific heat of land compared with water is:","Lower","Same","Higher","","A) Lower","VERIFIED","Land has a lower specific heat, so it heats and cools faster."
"met-3 Temperature","11","The minimum daily temperature is reached at:","Sunrise","Midnight","About ½–1 hour after sunrise","","C) About ½–1 hour after sunrise","VERIFIED","Cooling continues just past sunrise until incoming exceeds outgoing radiation."
"met-3 Temperature","12","The temperature to which an air parcel must be cooled to reach saturation is the:","Potential temperature","Dew point","Wet-bulb temperature","","B) Dew point","VERIFIED","Dew point = saturation temperature at constant pressure."
"met-3 Temperature","13","Cloudy nights are generally:","Cold","Normal","Warm","","C) Warm","VERIFIED","Cloud re-radiates long-wave heat back to the surface → warmer nights."
"met-3 Temperature","14","Water vapour is ____ transparent to terrestrial (long-wave) radiation:","Completely","Partially","Not at all","","B) Partially","VERIFIED","Water vapour absorbs much long-wave radiation (partial transparency / atmospheric window)."
"met-3 Temperature","15","The higher the temperature of a body, the ____ the wavelength of radiation it emits:","Longer","Shorter","","","B) Shorter","VERIFIED","Wien's law: hotter bodies radiate at shorter wavelengths."
"met-3 Temperature","16","Air is a poor conductor of heat, so an air parcel can be regarded as insulated from its environment:","False","True","","","B) True","VERIFIED","This underpins the adiabatic treatment of rising/sinking parcels."
"met-3 Temperature","17","The warmer the earth's surface, the ____ its nocturnal (long-wave) radiation:","More intense","Weaker","Unchanged","","A) More intense","VERIFIED","Stefan–Boltzmann: emission rises steeply with temperature."
"met-3 Temperature","18","Heat is the ____ of the kinetic energy of all the molecules of a substance:","Sum total","Average","","","A) Sum total","VERIFIED","Heat = total molecular KE; temperature = average KE."
"met-3 Temperature","19","Intense radiation is emitted by:","Hot bodies","Cold bodies","Only stars","","A) Hot bodies","VERIFIED","Radiated energy increases with temperature (Stefan–Boltzmann)."
"met-3 Temperature","20","The wavelength of the most intense radiation is inversely proportional to the body's:","Absolute temperature","Humidity","Albedo","","A) Absolute temperature","VERIFIED","Wien's displacement law."
"met-3 Temperature","21","Hot bodies (such as the sun) radiate mainly:","Short waves","Long waves","Both equally","","A) Short waves","VERIFIED","High-temperature emitters radiate short-wave energy."
"met-3 Temperature","22","About 77% of the heat flow from the earth's surface to the atmosphere is by:","Sensible heat","Latent heat","","","B) Latent heat","VERIFIED","Evaporation/latent heat is the dominant surface-to-atmosphere heat transfer."
"met-3 Temperature","23","Is 40°C equal to 40°F?","True","False","","","B) False","VERIFIED","40°C = 104°F (only −40° is equal on both scales)."
"met-3 Temperature","24","Surface (screen) temperature is recorded at a height above ground of:","1.5 m","1.25 m","2 m","","B) 1.25 m","VERIFIED","IMD standard screen thermometer height is 1.25 m."
"met-3 Temperature","25","The door of a Stevenson's screen should open:","Away from the sun (poleward)","Towards the sun","Any direction","","A) Away from the sun (poleward)","VERIFIED","Opening away from the sun prevents direct radiation on the thermometers."
